new_name,source,series_folder,original_file,page_idx
newdata__002_capturing_golden_time_for_flooding_throu__p02.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,2.jpg,2
newdata__002_capturing_golden_time_for_flooding_throu__p03.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,3.jpg,3
newdata__002_capturing_golden_time_for_flooding_throu__p04.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,4.jpg,4
newdata__002_capturing_golden_time_for_flooding_throu__p05.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,5.jpg,5
newdata__002_capturing_golden_time_for_flooding_throu__p06.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,6.jpg,6
newdata__002_capturing_golden_time_for_flooding_throu__p07.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,7.jpg,7
newdata__003_changing_rainfall_patterns_what_is_seoul__p01.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",1.jpg,1
newdata__003_changing_rainfall_patterns_what_is_seoul__p02.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",2.jpg,2
newdata__003_changing_rainfall_patterns_what_is_seoul__p03.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",3.jpg,3
newdata__003_changing_rainfall_patterns_what_is_seoul__p04.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",4.jpg,4
newdata__003_changing_rainfall_patterns_what_is_seoul__p05.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",5.jpg,5
newdata__003_changing_rainfall_patterns_what_is_seoul__p06.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",6.jpg,6
newdata__003_changing_rainfall_patterns_what_is_seoul__p07.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",7.jpg,7
newdata__003_changing_rainfall_patterns_what_is_seoul__p08.jpg,newdata,"Changing rainfall patterns, what is Seoul’s landslide response strategy",8.jpg,8
newdata__004_citizen_life_changed_by_covid_19__p01.jpg,newdata,Citizen life changed by COVID-19,1.jpg,1
newdata__004_citizen_life_changed_by_covid_19__p02.jpg,newdata,Citizen life changed by COVID-19,2.jpg,2
newdata__004_citizen_life_changed_by_covid_19__p03.jpg,newdata,Citizen life changed by COVID-19,3.jpg,3
newdata__004_citizen_life_changed_by_covid_19__p04.jpg,newdata,Citizen life changed by COVID-19,4.jpg,4
newdata__004_citizen_life_changed_by_covid_19__p05.jpg,newdata,Citizen life changed by COVID-19,5.jpg,5
newdata__004_citizen_life_changed_by_covid_19__p06.jpg,newdata,Citizen life changed by COVID-19,6.jpg,6
newdata__005_delving_into_the_personal_feelings_of_dr__p01.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),1.jpg,1
newdata__005_delving_into_the_personal_feelings_of_dr__p02.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),2.jpg,2
newdata__005_delving_into_the_personal_feelings_of_dr__p03.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),3.jpg,3
newdata__005_delving_into_the_personal_feelings_of_dr__p04.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),4.jpg,4
newdata__005_delving_into_the_personal_feelings_of_dr__p05.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),5.jpg,5
newdata__005_delving_into_the_personal_feelings_of_dr__p06.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),6.jpg,6
newdata__005_delving_into_the_personal_feelings_of_dr__p07.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),7.jpg,7
newdata__005_delving_into_the_personal_feelings_of_dr__p08.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),8.jpg,8
newdata__005_delving_into_the_personal_feelings_of_dr__p09.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),9.jpg,9
newdata__005_delving_into_the_personal_feelings_of_dr__p10.jpg,newdata,Delving into the “Personal Feelings” of Drivers is the Key for Greater Uptake of Mass Transit and Electric Vehicles (EVs),10.jpg,10
newdata__006_do_you_know_the_smart_city_that_will_cha__p01.jpg,newdata,Do you know the smart city that will change our lives,1.jpg,1
newdata__006_do_you_know_the_smart_city_that_will_cha__p02.jpg,newdata,Do you know the smart city that will change our lives,2.jpg,2
newdata__006_do_you_know_the_smart_city_that_will_cha__p03.jpg,newdata,Do you know the smart city that will change our lives,3.jpg,3
newdata__006_do_you_know_the_smart_city_that_will_cha__p04.jpg,newdata,Do you know the smart city that will change our lives,4.jpg,4
newdata__006_do_you_know_the_smart_city_that_will_cha__p05.jpg,newdata,Do you know the smart city that will change our lives,5.jpg,5
newdata__006_do_you_know_the_smart_city_that_will_cha__p06.jpg,newdata,Do you know the smart city that will change our lives,6.jpg,6
newdata__006_do_you_know_the_smart_city_that_will_cha__p07.jpg,newdata,Do you know the smart city that will change our lives,7.jpg,7
newdata__006_do_you_know_the_smart_city_that_will_cha__p08.jpg,newdata,Do you know the smart city that will change our lives,8.jpg,8
newdata__006_do_you_know_the_smart_city_that_will_cha__p09.jpg,newdata,Do you know the smart city that will change our lives,9.jpg,9
newdata__006_do_you_know_the_smart_city_that_will_cha__p10.jpg,newdata,Do you know the smart city that will change our lives,10.jpg,10
newdata__007_elderly_drivers_put_down_their_licenses___p01.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,1.jpg,1
newdata__007_elderly_drivers_put_down_their_licenses___p02.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,2.jpg,2
newdata__007_elderly_drivers_put_down_their_licenses___p03.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,3.jpg,3
newdata__007_elderly_drivers_put_down_their_licenses___p04.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,4.jpg,4
newdata__007_elderly_drivers_put_down_their_licenses___p05.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,5.jpg,5
newdata__007_elderly_drivers_put_down_their_licenses___p06.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,6.jpg,6
newdata__007_elderly_drivers_put_down_their_licenses___p07.jpg,newdata,Elderly drivers put down their licenses and protect their right to travel and safety,7.jpg,7
newdata__008_even_after_covid_19_ends_80_1_will_conti__p01.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",1.jpg,1
newdata__008_even_after_covid_19_ends_80_1_will_conti__p02.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",2.jpg,2
newdata__008_even_after_covid_19_ends_80_1_will_conti__p03.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",3.jpg,3
newdata__008_even_after_covid_19_ends_80_1_will_conti__p04.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",4.jpg,4
newdata__008_even_after_covid_19_ends_80_1_will_conti__p05.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",5.jpg,5
newdata__008_even_after_covid_19_ends_80_1_will_conti__p06.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",6.jpg,6
newdata__008_even_after_covid_19_ends_80_1_will_conti__p07.jpg,newdata,"Even after COVID-19 ends, 80.1% will continue to consume non-face-to-face",7.jpg,7
newdata__009_fair_dealership_transactions_what_change__p01.jpg,newdata,"Fair dealership transactions, what changes are needed now",1.jpg,1
newdata__009_fair_dealership_transactions_what_change__p02.jpg,newdata,"Fair dealership transactions, what changes are needed now",2.jpg,2
newdata__009_fair_dealership_transactions_what_change__p03.jpg,newdata,"Fair dealership transactions, what changes are needed now",3.jpg,3
newdata__009_fair_dealership_transactions_what_change__p04.jpg,newdata,"Fair dealership transactions, what changes are needed now",4.jpg,4
newdata__009_fair_dealership_transactions_what_change__p05.jpg,newdata,"Fair dealership transactions, what changes are needed now",5.jpg,5
newdata__009_fair_dealership_transactions_what_change__p06.jpg,newdata,"Fair dealership transactions, what changes are needed now",6.jpg,6
newdata__009_fair_dealership_transactions_what_change__p07.jpg,newdata,"Fair dealership transactions, what changes are needed now",7.jpg,7
newdata__009_fair_dealership_transactions_what_change__p08.jpg,newdata,"Fair dealership transactions, what changes are needed now",8.jpg,8
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p01.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,1.jpg,1
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p02.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,2.jpg,2
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p03.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,3.jpg,3
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p04.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,4.jpg,4
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p05.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,5.jpg,5
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p06.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,6.jpg,6
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p07.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,7.jpg,7
newdata__010_from_a_small_luxury_to_a_big_industry_wh__p08.jpg,newdata,From a small luxury to a big industry... What is Seoul dessert like now,8.jpg,8
newdata__011_from_small_luxury_to_a_growing_industry___p01.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,1.jpg,1
newdata__011_from_small_luxury_to_a_growing_industry___p02.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,2.jpg,2
newdata__011_from_small_luxury_to_a_growing_industry___p03.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,3.jpg,3
newdata__011_from_small_luxury_to_a_growing_industry___p04.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,4.jpg,4
newdata__011_from_small_luxury_to_a_growing_industry___p05.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,5.jpg,5
newdata__011_from_small_luxury_to_a_growing_industry___p06.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,6.jpg,6
newdata__011_from_small_luxury_to_a_growing_industry___p07.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,7.jpg,7
newdata__011_from_small_luxury_to_a_growing_industry___p08.jpg,newdata,From “Small Luxury” to a Growing Industry Seoul’s Dessert Scene Today,8.jpg,8
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p01.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",1.jpg,1
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p02.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",2.jpg,2
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p03.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",3.jpg,3
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p04.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",4.jpg,4
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p05.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",5.jpg,5
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p06.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",6.jpg,6
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p07.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",7.jpg,7
newdata__012_hot_griddle_cold_reality_how_do_food_tru__p08.jpg,newdata,"Hot griddle, cold reality, how do food trucks in Seoul survive",8.jpg,8
newdata__013_how_are_our_neighbors_doing_during_the_h__p01.jpg,newdata,How are our neighbors doing during the heat wave,1.jpg,1
newdata__013_how_are_our_neighbors_doing_during_the_h__p02.jpg,newdata,How are our neighbors doing during the heat wave,2.jpg,2
newdata__013_how_are_our_neighbors_doing_during_the_h__p03.jpg,newdata,How are our neighbors doing during the heat wave,3.jpg,3
newdata__013_how_are_our_neighbors_doing_during_the_h__p04.jpg,newdata,How are our neighbors doing during the heat wave,4.jpg,4
newdata__013_how_are_our_neighbors_doing_during_the_h__p05.jpg,newdata,How are our neighbors doing during the heat wave,5.jpg,5
newdata__013_how_are_our_neighbors_doing_during_the_h__p06.jpg,newdata,How are our neighbors doing during the heat wave,6.jpg,6
newdata__013_how_are_our_neighbors_doing_during_the_h__p07.jpg,newdata,How are our neighbors doing during the heat wave,7.jpg,7
newdata__013_how_are_our_neighbors_doing_during_the_h__p08.jpg,newdata,How are our neighbors doing during the heat wave,8.jpg,8
newdata__013_how_are_our_neighbors_doing_during_the_h__p09.jpg,newdata,How are our neighbors doing during the heat wave,9.jpg,9
newdata__013_how_are_our_neighbors_doing_during_the_h__p10.jpg,newdata,How are our neighbors doing during the heat wave,10.jpg,10
newdata__014_how_much_has_plastic_waste_increased_due__p01.jpg,newdata,How much has plastic waste increased due to Corona,1.jpg,1
newdata__014_how_much_has_plastic_waste_increased_due__p02.jpg,newdata,How much has plastic waste increased due to Corona,2.jpg,2
newdata__014_how_much_has_plastic_waste_increased_due__p03.jpg,newdata,How much has plastic waste increased due to Corona,3.jpg,3
newdata__014_how_much_has_plastic_waste_increased_due__p04.jpg,newdata,How much has plastic waste increased due to Corona,4.jpg,4
newdata__014_how_much_has_plastic_waste_increased_due__p05.jpg,newdata,How much has plastic waste increased due to Corona,5.jpg,5
newdata__014_how_much_has_plastic_waste_increased_due__p06.jpg,newdata,How much has plastic waste increased due to Corona,6.jpg,6
newdata__014_how_much_has_plastic_waste_increased_due__p07.jpg,newdata,How much has plastic waste increased due to Corona,7.jpg,7
newdata__014_how_much_has_plastic_waste_increased_due__p08.jpg,newdata,How much has plastic waste increased due to Corona,8.jpg,8
newdata__014_how_much_has_plastic_waste_increased_due__p09.jpg,newdata,How much has plastic waste increased due to Corona,9.jpg,9
newdata__014_how_much_has_plastic_waste_increased_due__p10.jpg,newdata,How much has plastic waste increased due to Corona,10.jpg,10
newdata__014_how_much_has_plastic_waste_increased_due__p11.jpg,newdata,How much has plastic waste increased due to Corona,11.jpg,11
newdata__015_if_we_want_to_increase_public_transporta__p01.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",1.jpg,1
newdata__015_if_we_want_to_increase_public_transporta__p02.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",2.jpg,2
newdata__015_if_we_want_to_increase_public_transporta__p03.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",3.jpg,3
newdata__015_if_we_want_to_increase_public_transporta__p04.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",4.jpg,4
newdata__015_if_we_want_to_increase_public_transporta__p05.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",5.jpg,5
newdata__015_if_we_want_to_increase_public_transporta__p06.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",6.jpg,6
newdata__015_if_we_want_to_increase_public_transporta__p07.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",7.jpg,7
newdata__015_if_we_want_to_increase_public_transporta__p08.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",8.jpg,8
newdata__015_if_we_want_to_increase_public_transporta__p09.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",9.jpg,9
newdata__015_if_we_want_to_increase_public_transporta__p10.jpg,newdata,"If we want to increase public transportation and electric vehicles, let’s pay attention to the ‘inner minds’ of drivers",10.jpg,10
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p01.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",1.jpg,1
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p02.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",2.jpg,2
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p03.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",3.jpg,3
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p04.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",4.jpg,4
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p05.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",5.jpg,5
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p06.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",6.jpg,6
newdata__016_in_the_era_of_eco_friendly_cars_pay_atte__p07.jpg,newdata,"In the era of eco-friendly cars, pay attention to invisible pollution",7.jpg,7
newdata__017_introducing_public_hanoks_operated_by_th__p01.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,1.jpg,1
newdata__017_introducing_public_hanoks_operated_by_th__p02.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,2.jpg,2
newdata__017_introducing_public_hanoks_operated_by_th__p03.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,3.jpg,3
newdata__017_introducing_public_hanoks_operated_by_th__p04.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,4.jpg,4
newdata__017_introducing_public_hanoks_operated_by_th__p05.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,5.jpg,5
newdata__017_introducing_public_hanoks_operated_by_th__p06.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,6.jpg,6
newdata__017_introducing_public_hanoks_operated_by_th__p07.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,7.jpg,7
newdata__017_introducing_public_hanoks_operated_by_th__p08.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,8.jpg,8
newdata__017_introducing_public_hanoks_operated_by_th__p09.jpg,newdata,Introducing public hanoks operated by the Seoul Metropolitan Government,9.jpg,9
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p01.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,1.jpg,1
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p02.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,2.jpg,2
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p03.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,3.jpg,3
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p04.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,4.jpg,4
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p05.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,5.jpg,5
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p06.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,6.jpg,6
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p07.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,7.jpg,7
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p08.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,8.jpg,8
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p09.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,9.jpg,9
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p10.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,10.jpg,10
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p11.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,11.jpg,11
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p12.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,12.jpg,12
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p13.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,13.jpg,13
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p14.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,14.jpg,14
newdata__018_is_covid_19_a_black_swan_type_gray_rhino__p15.jpg,newdata,Is COVID-19 a black swan type Gray rhino type,15.jpg,15
newdata__019_is_the_road_in_front_of_my_house_safe_en__p01.jpg,newdata,Is the Road in front of My House Safe Enough,1.jpg,1
newdata__019_is_the_road_in_front_of_my_house_safe_en__p02.jpg,newdata,Is the Road in front of My House Safe Enough,2.jpg,2
newdata__019_is_the_road_in_front_of_my_house_safe_en__p03.jpg,newdata,Is the Road in front of My House Safe Enough,3.jpg,3
newdata__019_is_the_road_in_front_of_my_house_safe_en__p04.jpg,newdata,Is the Road in front of My House Safe Enough,4.jpg,4
newdata__019_is_the_road_in_front_of_my_house_safe_en__p05.jpg,newdata,Is the Road in front of My House Safe Enough,5.jpg,5
newdata__019_is_the_road_in_front_of_my_house_safe_en__p06.jpg,newdata,Is the Road in front of My House Safe Enough,6.jpg,6
newdata__019_is_the_road_in_front_of_my_house_safe_en__p07.jpg,newdata,Is the Road in front of My House Safe Enough,7.jpg,7
newdata__019_is_the_road_in_front_of_my_house_safe_en__p08.jpg,newdata,Is the Road in front of My House Safe Enough,8.jpg,8
newdata__019_is_the_road_in_front_of_my_house_safe_en__p09.jpg,newdata,Is the Road in front of My House Safe Enough,9.jpg,9
newdata__019_is_the_road_in_front_of_my_house_safe_en__p10.jpg,newdata,Is the Road in front of My House Safe Enough,10.jpg,10
newdata__020_is_the_retaliatory_spending_money_that_o__p01.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,1.jpg,1
newdata__020_is_the_retaliatory_spending_money_that_o__p02.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,2.jpg,2
newdata__020_is_the_retaliatory_spending_money_that_o__p03.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,3.jpg,3
newdata__020_is_the_retaliatory_spending_money_that_o__p04.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,4.jpg,4
newdata__020_is_the_retaliatory_spending_money_that_o__p05.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,5.jpg,5
newdata__020_is_the_retaliatory_spending_money_that_o__p06.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,6.jpg,6
newdata__020_is_the_retaliatory_spending_money_that_o__p07.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,7.jpg,7
newdata__020_is_the_retaliatory_spending_money_that_o__p08.jpg,newdata,Is the retaliatory spending money that one out of four Seoul citizens did Money,8.jpg,8
newdata__021_is_the_road_in_front_of_my_house_safe__p01.jpg,newdata,Is the road in front of my house safe,1.jpg,1
newdata__021_is_the_road_in_front_of_my_house_safe__p02.jpg,newdata,Is the road in front of my house safe,2.jpg,2
newdata__021_is_the_road_in_front_of_my_house_safe__p03.jpg,newdata,Is the road in front of my house safe,3.jpg,3
newdata__021_is_the_road_in_front_of_my_house_safe__p04.jpg,newdata,Is the road in front of my house safe,4.jpg,4
newdata__021_is_the_road_in_front_of_my_house_safe__p05.jpg,newdata,Is the road in front of my house safe,5.jpg,5
newdata__021_is_the_road_in_front_of_my_house_safe__p06.jpg,newdata,Is the road in front of my house safe,6.jpg,6
newdata__021_is_the_road_in_front_of_my_house_safe__p07.jpg,newdata,Is the road in front of my house safe,7.jpg,7
newdata__021_is_the_road_in_front_of_my_house_safe__p08.jpg,newdata,Is the road in front of my house safe,8.jpg,8
newdata__021_is_the_road_in_front_of_my_house_safe__p09.jpg,newdata,Is the road in front of my house safe,9.jpg,9
newdata__021_is_the_road_in_front_of_my_house_safe__p10.jpg,newdata,Is the road in front of my house safe,10.jpg,10
newdata__022_lets_take_an_in_depth_look_at_generation__p01.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,1.jpg,1
newdata__022_lets_take_an_in_depth_look_at_generation__p02.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,2.jpg,2
newdata__022_lets_take_an_in_depth_look_at_generation__p03.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,3.jpg,3
newdata__022_lets_take_an_in_depth_look_at_generation__p04.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,4.jpg,4
newdata__022_lets_take_an_in_depth_look_at_generation__p05.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,5.jpg,5
newdata__022_lets_take_an_in_depth_look_at_generation__p06.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,6.jpg,6
newdata__022_lets_take_an_in_depth_look_at_generation__p07.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,7.jpg,7
newdata__022_lets_take_an_in_depth_look_at_generation__p08.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,8.jpg,8
